source_url,target_url,status_code,preserve_query_string,include_subdomains,subpath_matching,preserve_path_suffix
https://tecnicocuritiba.com.br/atendimento/fazenda-rio-grande/centro,https://tecnico.curitiba.br/tecnico-informatica-fazenda-rio-grande,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/fazenda-rio-grande/eucaliptos,https://tecnico.curitiba.br/tecnico-informatica-fazenda-rio-grande,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/fazenda-rio-grande/nacoes,https://tecnico.curitiba.br/tecnico-informatica-fazenda-rio-grande,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/pinhais,https://tecnico.curitiba.br/tecnico-informatica-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/pinhais/atuba,https://tecnico.curitiba.br/tecnico-informatica-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/pinhais/centro,https://tecnico.curitiba.br/tecnico-informatica-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/pinhais/estancia-pinhais,https://tecnico.curitiba.br/tecnico-informatica-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/pinhais/weissopolis,https://tecnico.curitiba.br/tecnico-informatica-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/piraquara,https://tecnico.curitiba.br/tecnico-informatica-piraquara,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/piraquara/centro,https://tecnico.curitiba.br/tecnico-informatica-piraquara,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/piraquara/guarituba,https://tecnico.curitiba.br/tecnico-informatica-piraquara,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/quatro-barras,https://tecnico.curitiba.br/tecnico-informatica-quatro-barras,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/quatro-barras/centro,https://tecnico.curitiba.br/tecnico-informatica-quatro-barras,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/sao-jose-dos-pinhais,https://tecnico.curitiba.br/tecnico-informatica-sao-jose-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/sao-jose-dos-pinhais/afonso-pena,https://tecnico.curitiba.br/tecnico-informatica-sao-jose-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/sao-jose-dos-pinhais/aviacao,https://tecnico.curitiba.br/tecnico-informatica-sao-jose-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/sao-jose-dos-pinhais/centro,https://tecnico.curitiba.br/tecnico-informatica-sao-jose-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/sao-jose-dos-pinhais/cidade-jardim,https://tecnico.curitiba.br/tecnico-informatica-sao-jose-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/sao-jose-dos-pinhais/guatupe,https://tecnico.curitiba.br/tecnico-informatica-sao-jose-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/atendimento/sao-jose-dos-pinhais/sao-pedro,https://tecnico.curitiba.br/tecnico-informatica-sao-jose-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/autor/tecnico-curitiba,https://tecnico.curitiba.br/gestor-responsavel,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/academia-sjp,https://tecnico.curitiba.br/bairros/academia-sjp,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/afonso-pena,https://tecnico.curitiba.br/bairros/afonso-pena,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/agricola-sjp,https://tecnico.curitiba.br/bairros/agricola-sjp,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/agua-verde,https://tecnico.curitiba.br/bairros/agua-verde,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/alto-boqueirao,https://tecnico.curitiba.br/bairros/alto-boqueirao,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/alto-da-gloria,https://tecnico.curitiba.br/bairros/alto-da-gloria,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/alto-maracana,https://tecnico.curitiba.br/bairros/alto-maracana,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/alto-taruma,https://tecnico.curitiba.br/bairros/alto-taruma,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/antonio-olivero-cm,https://tecnico.curitiba.br/bairros/antonio-olivero-cm,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/aristocrata,https://tecnico.curitiba.br/bairros/aristocrata,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/atuba-colombo,https://tecnico.curitiba.br/bairros/atuba-colombo,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/atuba-pinhais,https://tecnico.curitiba.br/bairros/atuba-pinhais,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/aviacao,https://tecnico.curitiba.br/bairros/aviacao,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/bacacheri,https://tecnico.curitiba.br/bairros/bacacheri,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/barigui-araucaria,https://tecnico.curitiba.br/bairros/barigui-araucaria,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/barro-preto,https://tecnico.curitiba.br/bairros/barro-preto,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/bateias,https://tecnico.curitiba.br/bairros/bateias,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/batel,https://tecnico.curitiba.br/bairros/batel,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/bigorrilho,https://tecnico.curitiba.br/bairros/bigorrilho,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/boa-vista,https://tecnico.curitiba.br/bairros/boa-vista,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/boa-vista-at,https://tecnico.curitiba.br/bairros/boa-vista-at,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/boneca-do-iguacu-sjp,https://tecnico.curitiba.br/bairros/boneca-do-iguacu-sjp,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/boqueirao,https://tecnico.curitiba.br/bairros/boqueirao,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/boqueirao-araucaria,https://tecnico.curitiba.br/bairros/boqueirao-araucaria,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/borda-campo-sjp,https://tecnico.curitiba.br/bairros/borda-campo-sjp,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/borda-do-campo-qb,https://tecnico.curitiba.br/bairros/borda-do-campo-qb,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/borda-do-campo-sjp,https://tecnico.curitiba.br/bairros/borda-do-campo-sjp,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/botiatuva,https://tecnico.curitiba.br/bairros/botiatuva,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/botiatuva-cm,https://tecnico.curitiba.br/bairros/botiatuva-cm,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/braga,https://tecnico.curitiba.br/bairros/braga,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/cabral,https://tecnico.curitiba.br/bairros/cabral,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/cachoeira-araucaria,https://tecnico.curitiba.br/bairros/cachoeira-araucaria,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/cachoeira-at,https://tecnico.curitiba.br/bairros/cachoeira-at,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/caiua-piraquara,https://tecnico.curitiba.br/bairros/caiua-piraquara,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/cajuru,https://tecnico.curitiba.br/bairros/cajuru,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/california-araucaria,https://tecnico.curitiba.br/bairros/california-araucaria,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/campina-da-barra,https://tecnico.curitiba.br/bairros/campina-da-barra,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/campina-grande-colombo,https://tecnico.curitiba.br/bairros/campina-grande-colombo,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/campo-comprido,https://tecnico.curitiba.br/bairros/campo-comprido,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/campo-largo-roseira-sjp,https://tecnico.curitiba.br/bairros/campo-largo-roseira-sjp,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/campo-pequeno,https://tecnico.curitiba.br/bairros/campo-pequeno,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/campo-tenente-at,https://tecnico.curitiba.br/bairros/campo-tenente-at,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/capao-da-imbuia,https://tecnico.curitiba.br/bairros/capao-da-imbuia,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/capela-velha,https://tecnico.curitiba.br/bairros/capela-velha,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/centro,https://tecnico.curitiba.br/bairros/centro,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/centro-almirante-tamandare,https://tecnico.curitiba.br/bairros/centro-almirante-tamandare,301,true,true,false,false
https://tecnicocuritiba.com.br/bairros/centro-araucaria,https://tecnico.curitiba.br/bairros/centro-araucaria,301,true,true,false,false
