rota,ctas,secoes,utm_campaign,status
/problemas/notebook-touchpad-nao-funciona-curitiba,0,"","",falha
/problemas/o-que-causa-curto-em-placa,0,"","",falha
/problemas/o-que-fazer-computador-nao-liga,0,"","",falha
/problemas/o-que-fazer-notebook-lento,0,"","",falha
/problemas/pc-com-barulho-estranho-curitiba,0,"","",falha
/problemas/pc-com-pop-ups-e-propagandas-curitiba,0,"","",falha
/problemas/pc-com-programas-pesados,0,"","",falha
/problemas/pc-com-tela-congelada-curitiba,0,"","",falha
/problemas/pc-com-tela-preta-curitiba,0,"","",falha
/problemas/pc-com-virus-ransomware-curitiba,0,"","",falha
/problemas/pc-desligando-sozinho-curitiba,0,"","",falha
/problemas/pc-fazendo-barulho-estranho-curitiba,0,"","",falha
/problemas/pc-nao-conecta-bluetooth-curitiba,0,"","",falha
/problemas/pc-nao-conecta-internet-curitiba,0,"","",falha
/problemas/pc-nao-conecta-wifi-curitiba,0,"","",falha
/problemas/pc-nao-entra-modo-seguro-curitiba,0,"","",falha
/problemas/pc-nao-reconhece-hd-curitiba,0,"","",falha
/problemas/pc-nao-reconhece-segundo-monitor-curitiba,0,"","",falha
/problemas/pc-nao-reconhece-usb-curitiba,0,"","",falha
/problemas/pc-reiniciando-sozinho-curitiba,0,"","",falha
/problemas/pc-sem-audio-curitiba,0,"","",falha
/problemas/pc-sem-imagem-curitiba,0,"","",falha
/problemas/pc-sem-som-hdmi-curitiba,0,"","",falha
/problemas/pc-superaquecendo-curitiba,0,"","",falha
/problemas/pc-trava-ao-jogar-curitiba,0,"","",falha
/problemas/pc-travando-em-jogos-curitiba,0,"","",falha
/problemas/pc-travando-jogos-curitiba,0,"","",falha
/problemas/pen-drive-nao-reconhece-curitiba,0,"","",falha
/problemas/placa-de-video-nao-funciona-curitiba,0,"","",falha
/problemas/placa-mae-com-defeito-curitiba,0,"","",falha
/problemas/placa-mae-queimada,0,"","",falha
/problemas/por-que-conserto-placa-mae-custa-caro-curitiba,0,"","",falha
/problemas/por-que-display-e-caro-curitiba,0,"","",falha
/problemas/quando-nao-compensa-reparo,0,"","",falha
/problemas/quando-trocar-computador,0,"","",falha
/problemas/quanto-custa-trocar-tela-celular-curitiba,0,"","",falha
/problemas/quanto-custa-trocar-tela-tv-curitiba,0,"","",falha
/problemas/radio-nao-liga-curitiba,0,"","",falha
/problemas/reballing-bga-curitiba,0,"","",falha
/problemas/recapacitacao-placa-eletronica-curitiba,0,"","",falha
/problemas/receiver-sem-som-curitiba,0,"","",falha
/problemas/reflow-bga-curitiba,0,"","",falha
/problemas/reparo-placa-mae-celular-curitiba,0,"","",falha
/problemas/reparo-placa-mae-notebook-curitiba,0,"","",falha
/problemas/reparo-placa-principal-tv-curitiba,0,"","",falha
/problemas/reparo-placa-som-amplificador-curitiba,0,"","",falha
/problemas/riscos-de-tentar-consertar,0,"","",falha
/problemas/smart-tv-lenta-curitiba,0,"","",falha
/problemas/som-automotivo-nao-funciona-curitiba,0,"","",falha
/problemas/som-chiando-curitiba,0,"","",falha
/problemas/som-nao-funciona-curitiba,0,"","",falha
/problemas/ssd-nao-reconhece-curitiba,0,"","",falha
/problemas/teclado-mouse-nao-funciona-curitiba,0,"","",falha
/problemas/teclado-nao-funciona-curitiba,0,"","",falha
/problemas/tecnico-computador-perto-de-mim,0,"","",falha
/problemas/tecnico-informatica-emergencia-curitiba,0,"","",falha
/problemas/tela-azul,0,"","",falha
/problemas/tela-azul-windows-curitiba,0,"","",falha
/problemas/troca-chip-bga-curitiba,0,"","",falha
/problemas/tv-cheiro-queimado-curitiba,0,"","",falha
/problemas/tv-com-linhas-na-tela-curitiba,0,"","",falha
/problemas/tv-com-som-sem-imagem-curitiba,0,"","",falha
/problemas/tv-com-tela-escura-curitiba,0,"","",falha
/problemas/tv-controle-nao-funciona-curitiba,0,"","",falha
/problemas/tv-demora-ligar-curitiba,0,"","",falha
/problemas/tv-desliga-sozinha-curitiba,0,"","",falha
/problemas/tv-desligando-sozinha-curitiba,0,"","",falha
/problemas/tv-imagem-fantasma-curitiba,0,"","",falha
/problemas/tv-listras-horizontais-verticais-conserto-curitiba,0,"","",falha
/problemas/tv-listras-na-tela-curitiba,0,"","",falha
/problemas/tv-manchas-na-tela-curitiba,0,"","",falha
/problemas/tv-nao-conecta-wifi-bluetooth-curitiba,0,"","",falha
/problemas/tv-nao-liga-curitiba,0,"","",falha
/problemas/tv-pixel-morto-curitiba,0,"","",falha
/problemas/tv-sem-cores-curitiba,0,"","",falha
/problemas/tv-sem-hdmi-curitiba,0,"","",falha
/problemas/tv-sem-imagem-curitiba,0,"","",falha
/problemas/tv-sem-som-curitiba,0,"","",falha
/problemas/tv-sem-wifi-curitiba,0,"","",falha
/problemas/tv-som-sem-video-curitiba,0,"","",falha
/problemas/tv-tela-quebrada-curitiba,0,"","",falha
/problemas/tv-travando-lenta-curitiba,0,"","",falha
/problemas/upgrade-deu-problema,0,"","",falha
/problemas/vale-a-pena-consertar-computador,0,"","",falha
/problemas/vale-a-pena-consertar-notebook,0,"","",falha
/problemas/wifi-caindo-curitiba,0,"","",falha
/problemas/wifi-instavel,0,"","",falha
/problemas/windows-lento-curitiba,0,"","",falha
/problemas/windows-travando-na-atualizacao-curitiba,0,"","",falha
